model,n_estimators,max_samples,n_neighbors,nu,gamma,threshold_percentile,threshold,pred_normal,pred_anomaly,precision,recall,f1,auroc,auprc
OneClassSVM,,,,0.01,0.1,7,-0.0043015286061014015,3306,1804,0.4584257206208426,1.0,0.628658304827062,0.9971406316301815,0.9761460835645259
OneClassSVM,,,,0.03,0.1,7,-0.023500899908239423,3299,1811,0.45665378244064053,1.0,0.6269901440485216,0.9971846740339821,0.9768223061690084
OneClassSVM,,,,0.1,0.1,7,-0.12333912830315726,3281,1829,0.45215965008201203,1.0,0.6227409638554217,0.997184674033982,0.976822306558048
OneClassSVM,,,,0.1,0.01,20,0.370670403983695,4087,1023,0.5532746823069403,0.6844014510278114,0.6118918918918919,0.8512487574254506,0.7290936829260081
LocalOutlierFactor,,,100.0,,,10,-3.2992024421691895,3178,1932,0.4280538302277433,1.0,0.5994925697716564,0.9930991764352812,0.945963582036662
LocalOutlierFactor,,,20.0,,,10,-6.31032657623291,3197,1913,0.42812336644014637,0.9903264812575574,0.5978102189781022,0.9831407936836417,0.9354569053400125
LocalOutlierFactor,,,10.0,,,10,-6.539355278015137,3191,1919,0.4158415841584158,0.9649334945586457,0.5812090313182812,0.9570806774963927,0.9082543668080075
LocalOutlierFactor,,,50.0,,,10,-3.561805248260498,3081,2029,0.4075899457861015,1.0,0.5791316526610645,0.9926988422776586,0.9433627828469002
OneClassSVM,,,,0.05,0.1,10,-0.04715588638429047,3046,2064,0.4006782945736434,1.0,0.572120373573158,0.9971846740339823,0.9768223092254805
OneClassSVM,,,,0.1,0.1,10,-0.1173327386781402,3043,2067,0.40009675858732463,1.0,0.5715272978576365,0.997184674033982,0.976822306558048
OneClassSVM,,,,0.01,0.1,10,-0.004006230308797987,3029,2081,0.39740509370494953,1.0,0.5687757909215956,0.9971406316301815,0.9761460835645259
OneClassSVM,,,,0.03,0.1,10,-0.02218667664177687,3003,2107,0.3925011865211201,1.0,0.5637355146557601,0.9971846740339821,0.9768223061690084
LocalOutlierFactor,,,100.0,,,15,-3.0224525928497314,2798,2312,0.3576989619377163,1.0,0.5269194010831475,0.9930991764352812,0.945963582036662
LocalOutlierFactor,,,20.0,,,15,-5.8027753829956055,2825,2285,0.3584245076586433,0.9903264812575574,0.5263496143958869,0.9831407936836417,0.9354569053400125
LocalOutlierFactor,,,10.0,,,15,-5.832943916320801,2738,2372,0.33642495784148396,0.9649334945586457,0.4989059080962801,0.9570806774963927,0.9082543668080075
OneClassSVM,,,,0.03,0.1,15,-0.02022960569592458,2582,2528,0.3271360759493671,1.0,0.49299552906110283,0.9971846740339821,0.9768223061690084
LocalOutlierFactor,,,50.0,,,15,-3.197263717651367,2574,2536,0.32610410094637227,1.0,0.49182277728218854,0.9926988422776586,0.9433627828469002
IsolationForest,100.0,0.8,,,,1,-0.1178332262827988,4749,361,0.8088642659279779,0.35308343409915355,0.49158249158249157,0.7610345278329641,0.5537122575618477
IsolationForest,300.0,0.8,,,,1,-0.11611280834151683,4689,421,0.7220902612826603,0.3675937122128174,0.48717948717948717,0.7680623967932614,0.5600874431556676
OneClassSVM,,,,0.01,0.1,15,-0.0035977586567541575,2528,2582,0.32029434546862895,1.0,0.48518627163391026,0.9971406316301815,0.9761460835645259
OneClassSVM,,,,0.1,0.1,15,-0.10801017510004307,2518,2592,0.31905864197530864,1.0,0.48376718338695524,0.997184674033982,0.976822306558048
IsolationForest,500.0,0.8,,,,1,-0.11365400103407863,4735,375,0.7653333333333333,0.347037484885127,0.47753743760399336,0.7693067358621766,0.5590666324282354
OneClassSVM,,,,0.05,0.1,15,-0.04279705539824885,2458,2652,0.3118401206636501,1.0,0.47542397240586376,0.9971846740339823,0.9768223092254805
IsolationForest,300.0,0.8,,,,5,-0.11131779801106256,4475,635,0.5401574803149606,0.4147521160822249,0.4692202462380301,0.7680623967932614,0.5600874431556676
IsolationForest,500.0,0.8,,,,5,-0.10881631272737524,4390,720,0.5027777777777778,0.437726723095526,0.4680025856496445,0.7693067358621766,0.5590666324282354
IsolationForest,100.0,0.8,,,,3,-0.11451821839890519,4565,545,0.5871559633027523,0.38694074969770254,0.46647230320699706,0.7610345278329641,0.5537122575618477
IsolationForest,500.0,0.8,,,,3,-0.11081243824849552,4529,581,0.5593803786574871,0.39298669891172916,0.4616477272727273,0.7693067358621766,0.5590666324282354
IsolationForest,300.0,auto,,,,1,-0.08090101343780387,4762,348,0.7787356321839081,0.32769044740024184,0.46127659574468083,0.721020874687786,0.5211240095109873
IsolationForest,300.0,0.8,,,,3,-0.11467062786658155,4593,517,0.5899419729206963,0.3688029020556227,0.4538690476190476,0.7680623967932614,0.5600874431556676
IsolationForest,300.0,auto,,,,3,-0.07972304940505781,4647,463,0.6285097192224622,0.3518742442563482,0.4511627906976744,0.721020874687786,0.5211240095109873
IsolationForest,100.0,0.8,,,,7,-0.11241266135816153,4287,823,0.4507897934386391,0.4486094316807739,0.4496969696969697,0.7610345278329641,0.5537122575618477
IsolationForest,100.0,0.8,,,,5,-0.11341235507601777,4463,647,0.5115919629057187,0.40024183796856105,0.4491180461329715,0.7610345278329641,0.5537122575618477
IsolationForest,500.0,0.8,,,,7,-0.10794039489032561,4295,815,0.44539877300613495,0.43893591293833134,0.44214372716199757,0.7693067358621766,0.5590666324282354
LocalOutlierFactor,,,50.0,,,20,-2.9185876846313477,2161,2949,0.2804340454391319,1.0,0.4380296610169492,0.9926988422776586,0.9433627828469002
