method,augmentation_family,seed,normal_train_used,real_anomaly_seed_used,generated_anomaly_used,total_anomaly_train_used,normal_to_anomaly_ratio,threshold,validation_precision,validation_recall,validation_f1,precision,recall,f1,f2,auroc,auprc,pred_anomaly,false_negative,false_positive,anomaly_seed_count
Original only,none,204,5000,25,0,25,200.0,0.10999999999999999,0.3737024221453287,0.6585365853658537,0.4768211920529801,0.25067385444743934,0.6283783783783784,0.3583815028901734,0.48286604361370716,0.7925936484060362,0.323501232135458,742,110,556,25
Magnitude warping,traditional,204,5000,25,1000,1025,4.878048780487805,0.3499999999999999,0.8064516129032258,0.6097560975609756,0.6944444444444444,0.7086956521739131,0.5506756756756757,0.6197718631178707,0.5763790664780764,0.9066851860837498,0.6751182278164293,230,133,67,25
Filtered@750 Masking Diffusion,generative_filtered,204,5000,25,750,775,6.451612903225806,0.4599999999999999,0.6418918918918919,0.5792682926829268,0.6089743589743589,0.4707692307692308,0.5168918918918919,0.4927536231884058,0.5069582504970179,0.8560822941433354,0.5657660001614234,325,143,172,25
Original only,none,200,5000,50,0,50,100.0,0.42999999999999994,0.40562248995983935,0.6158536585365854,0.4891041162227603,0.2903225806451613,0.6385135135135135,0.3991552270327349,0.5149863760217984,0.8270773691105828,0.4007954838399451,651,107,462,50
Magnitude warping,traditional,200,5000,50,1000,1050,4.761904761904762,0.4499999999999999,0.8,0.6097560975609756,0.6920415224913494,0.7237354085603113,0.6283783783783784,0.6726943942133815,0.6453851492019431,0.9234169537580669,0.7437955533222526,257,110,71,50
Filtered@750 Masking Diffusion,generative_filtered,200,5000,50,750,800,6.25,0.4699999999999999,0.5442477876106194,0.75,0.6307692307692307,0.4787234042553192,0.7601351351351351,0.587467362924282,0.6801692865779927,0.9009243534378184,0.6529492699863124,470,71,245,50
Original only,none,201,5000,50,0,50,100.0,0.38999999999999996,0.44017094017094016,0.6280487804878049,0.5175879396984925,0.3191126279863481,0.6317567567567568,0.42403628117913833,0.5282485875706214,0.8158122664855161,0.4371897788584335,586,109,399,50
Magnitude warping,traditional,201,5000,50,1000,1050,4.761904761904762,0.4699999999999999,0.8306451612903226,0.6280487804878049,0.7152777777777778,0.7721518987341772,0.6182432432432432,0.6866791744840526,0.6439127375087966,0.8964372361589596,0.7103739850323366,237,113,54,50
Filtered@750 Masking Diffusion,generative_filtered,201,5000,50,750,800,6.25,0.5299999999999999,0.5721925133689839,0.6524390243902439,0.6096866096866097,0.44471153846153844,0.625,0.5196629213483146,0.578125,0.8711618710272211,0.599699185042109,416,111,231,50
Original only,none,202,5000,50,0,50,100.0,0.36999999999999994,0.43568464730290457,0.6402439024390244,0.5185185185185185,0.31893687707641194,0.6486486486486487,0.42761692650334077,0.5375139977603584,0.826732859430346,0.37689402247844256,602,104,410,50
Magnitude warping,traditional,202,5000,50,1000,1050,4.761904761904762,0.43999999999999995,0.7608695652173914,0.6402439024390244,0.695364238410596,0.6992481203007519,0.6283783783783784,0.6619217081850534,0.6413793103448275,0.9138750060653112,0.7331156577923185,266,110,80,50
Filtered@750 Masking Diffusion,generative_filtered,202,5000,50,750,800,6.25,0.4499999999999999,0.5294117647058824,0.6585365853658537,0.5869565217391305,0.42016806722689076,0.6756756756756757,0.5181347150259067,0.6024096385542169,0.8863833761948663,0.6375393388160342,476,96,276,50
Original only,none,203,5000,50,0,50,100.0,0.35999999999999993,0.35714285714285715,0.7317073170731707,0.48,0.27164887307236063,0.7736486486486487,0.40210711150131695,0.5648741983226443,0.8379894706196322,0.3781853572080449,843,67,614,50
Magnitude warping,traditional,203,5000,50,1000,1050,4.761904761904762,0.5199999999999999,0.9368421052631579,0.5426829268292683,0.6872586872586872,0.8870967741935484,0.5574324324324325,0.6846473029045643,0.6021897810218978,0.9136881944781406,0.7570662776072897,186,131,21,50
Filtered@750 Masking Diffusion,generative_filtered,203,5000,50,750,800,6.25,0.62,0.8288288288288288,0.5609756097560976,0.6690909090909091,0.7442922374429224,0.5506756756756757,0.6330097087378641,0.5808980755523877,0.8990453200058226,0.6856875129827601,219,133,56,50
