method,augmentation_family,seed,generated_anomaly_used,threshold,validation_precision,validation_recall,validation_f1,precision,recall,f1,f2,auprc,false_negative,false_positive
Original only,none,42,0,0.31999999999999995,0.2519201228878648,1.0,0.40245398773006136,0.16554809843400448,1.0,0.2840690978886756,0.4979811574697174,0.8099188711307705,0,1492
Original only,none,42,0,0.32999999999999996,0.25505443234836706,1.0,0.40644361833952913,0.1667605633802817,1.0,0.2858522452921294,0.5001689760054072,0.8099188711307705,0,1479
Original only,none,42,0,0.33999999999999997,0.2586750788643533,1.0,0.41102756892230574,0.16856492027334852,1.0,0.2884990253411306,0.5034013605442177,0.8099188711307705,0,1460
Original only,none,42,0,0.3499999999999999,0.26198083067092653,1.0,0.4151898734177215,0.17031070195627157,1.0,0.2910521140609636,0.5065023956194388,0.8099188711307705,0,1442
Original only,none,42,0,0.35999999999999993,0.2649434571890145,1.0,0.41890166028097064,0.17249417249417248,1.0,0.294234592445328,0.5103448275862069,0.8099188711307705,0,1420
Original only,none,42,0,0.36999999999999994,0.271523178807947,1.0,0.4270833333333333,0.17411764705882352,1.0,0.2965931863727455,0.5131761442441054,0.8099188711307705,0,1404
Original only,none,42,0,0.37999999999999995,0.2765598650927487,1.0,0.4332892998678996,0.17629541393686718,1.0,0.299746835443038,0.516940272441495,0.8099188711307705,0,1383
Original only,none,42,0,0.38999999999999996,0.27986348122866894,1.0,0.43733333333333335,0.18004866180048662,1.0,0.30515463917525776,0.5233380480905233,0.8099188711307705,0,1348
Original only,none,42,0,0.3999999999999999,0.2827586206896552,1.0,0.44086021505376344,0.18316831683168316,1.0,0.30962343096234307,0.5285714285714286,0.8099188711307705,0,1320
Original only,none,42,0,0.4099999999999999,0.28596491228070176,0.9939024390243902,0.444141689373297,0.18592964824120603,1.0,0.3135593220338983,0.5331412103746398,0.8099188711307705,0,1296
Original only,none,42,0,0.41999999999999993,0.2931654676258993,0.9939024390243902,0.4527777777777778,0.18877551020408162,1.0,0.31759656652360513,0.5377906976744186,0.8099188711307705,0,1272
Original only,none,42,0,0.42999999999999994,0.29528985507246375,0.9939024390243902,0.4553072625698324,0.19245773732119636,1.0,0.3227917121046892,0.5437178545187362,0.8099188711307705,0,1242
Original only,none,42,0,0.43999999999999995,0.29908256880733947,0.9939024390243902,0.459802538787024,0.19615639496355203,1.0,0.32797783933518004,0.5495729669513554,0.8099188711307705,0,1213
Original only,none,42,0,0.4499999999999999,0.30280373831775703,0.9878048780487805,0.463519313304721,0.19919246298788695,1.0,0.33221099887766553,0.5543071161048689,0.8099188711307705,0,1190
Original only,none,42,0,0.4599999999999999,0.30623818525519847,0.9878048780487805,0.4675324675324675,0.20273972602739726,1.0,0.33712984054669703,0.5597579425113465,0.8099188711307705,0,1164
