method,model,normal_train_used,real_anomaly_seed_used,generated_anomaly_used,total_train_rows,threshold_strategy,target_recall,fbeta_beta,threshold_selected_on_real_validation,validation_precision,validation_recall,validation_f1,validation_f2,validation_recall_target_met,precision,recall,f1,f2,auroc,auprc,pred_normal,pred_anomaly,true_normal,true_anomaly
Masking GT-GAN,RandomForestClassifier,5000,247,50,5297,recall90_precision,0.9,,0.61,0.33710407239819007,0.9085365853658537,0.49174917491749176,0.6785063752276868,True,0.2607929515418502,1.0,0.413696715583508,0.6382061233290212,0.9627298752972002,0.8237192227451523,1946,1135,2785,296
Masking Diffusion,RandomForestClassifier,5000,247,50,5297,recall90_precision,0.9,,0.6,0.3303769401330377,0.9085365853658537,0.4845528455284553,0.6729900632339657,True,0.25851528384279476,1.0,0.4108258154059681,0.635465865178188,0.9642753166092484,0.8243421754637776,1936,1145,2785,296
Masking Diffusion,RandomForestClassifier,5000,247,100,5347,recall90_precision,0.9,,0.6,0.3303964757709251,0.9146341463414634,0.4854368932038835,0.6756756756756757,True,0.2578397212543554,1.0,0.4099722991689751,0.6346483704974271,0.9685368043087971,0.8355224225647387,1933,1148,2785,296
Diffusion,RandomForestClassifier,5000,247,50,5297,recall90_precision,0.9,,0.59,0.32962138084632514,0.9024390243902439,0.4828711256117455,0.669683257918552,True,0.2538593481989708,1.0,0.4049247606019152,0.6297872340425532,0.964304430103353,0.8208603969974243,1915,1166,2785,296
Diffusion,RandomForestClassifier,5000,247,100,5347,recall90_precision,0.9,,0.59,0.3274336283185841,0.9024390243902439,0.4805194805194805,0.6678700361010831,True,0.2502113271344041,1.0,0.4002704530087897,0.6252640473172792,0.9637900917075064,0.799128223013196,1898,1183,2785,296
Masking GT-GAN,RandomForestClassifier,5000,247,200,5447,recall90_precision,0.9,,0.57,0.3233404710920771,0.9207317073170732,0.4786053882725832,0.672306322350846,True,0.24362139917695474,1.0,0.39179351422898745,0.6169237182159233,0.9617424426221554,0.8343601198642548,1866,1215,2785,296
Diffusion,RandomForestClassifier,5000,247,200,5447,recall90_precision,0.9,,0.58,0.32119914346895073,0.9146341463414634,0.4754358161648177,0.667853962600178,True,0.23987034035656402,1.0,0.3869281045751634,0.6120760959470637,0.9745754282109758,0.8534124543905273,1847,1234,2785,296
Masking GT-GAN,RandomForestClassifier,5000,247,100,5347,recall90_precision,0.9,,0.58,0.321353065539112,0.926829268292683,0.4772370486656201,0.6731620903454384,True,0.23948220064724918,1.0,0.38642297650130547,0.6115702479338843,0.9598379348828182,0.817751649961149,1845,1236,2785,296
Masking Diffusion,RandomForestClassifier,5000,247,500,5747,recall90_precision,0.9,,0.6599999999999999,0.37,0.9024390243902439,0.524822695035461,0.7007575757575758,True,0.32560706401766004,0.9966216216216216,0.4908485856905158,0.7057416267942583,0.9854711533795915,0.9141814621906366,2175,906,2785,296
Masking Diffusion,RandomForestClassifier,5000,247,200,5447,recall90_precision,0.9,,0.63,0.33712984054669703,0.9024390243902439,0.49087893864013266,0.6757990867579908,True,0.2746741154562384,0.9966216216216216,0.4306569343065693,0.6532329495128433,0.9737020233878403,0.861847173409111,2007,1074,2785,296
Masking GT-GAN,RandomForestClassifier,5000,247,500,5747,recall90_precision,0.9,,0.63,0.34022988505747126,0.9024390243902439,0.4941569282136895,0.6782768102658112,True,0.270544783010157,0.9898648648648649,0.4249456127628716,0.6462284958094398,0.9666116745111359,0.8613226390530063,1998,1083,2785,296
