threshold,validation_precision,validation_recall,validation_f1,validation_pred_anomaly,final_precision,final_recall,final_f1,final_pred_anomaly
0.57,0.3935643564356436,0.9695121951219512,0.5598591549295775,404,0.3340857787810384,1.0,0.5008460236886633,886
0.58,0.39949748743718594,0.9695121951219512,0.5658362989323843,398,0.3433874709976798,1.0,0.5112262521588946,862
0.59,0.40664961636828645,0.9695121951219512,0.572972972972973,391,0.35878787878787877,1.0,0.528099910793934,825
0.6,0.4140625,0.9695121951219512,0.5802919708029197,384,0.3658838071693449,1.0,0.5357466063348416,809
0.61,0.4332425068119891,0.9695121951219512,0.5988700564971752,367,0.37420986093552466,1.0,0.5446182152713891,791
0.62,0.44537815126050423,0.9695121951219512,0.6103646833013435,357,0.38242894056847543,1.0,0.5532710280373832,774
0.63,0.4511494252873563,0.9573170731707317,0.61328125,348,0.4,1.0,0.5714285714285714,740
0.6399999999999999,0.45857988165680474,0.9451219512195121,0.6175298804780877,338,0.41143654114365413,0.9966216216216216,0.5824284304047384,717
0.6499999999999999,0.47112462006079026,0.9451219512195121,0.6288032454361054,329,0.4263005780346821,0.9966216216216216,0.597165991902834,692
0.6599999999999999,0.4792332268370607,0.9146341463414634,0.6289308176100629,313,0.44095665171898357,0.9966216216216216,0.6113989637305699,669
0.6699999999999999,0.4950166112956811,0.9085365853658537,0.6408602150537634,301,0.4645669291338583,0.9966216216216216,0.6337271750805585,635
0.6799999999999999,0.5287769784172662,0.8963414634146342,0.665158371040724,278,0.48360655737704916,0.9966216216216216,0.6512141280353201,610
0.69,0.5447761194029851,0.8902439024390244,0.6759259259259259,268,0.5051369863013698,0.9966216216216216,0.6704545454545454,584
0.7,0.5538461538461539,0.8780487804878049,0.6792452830188679,260,0.5239786856127886,0.9966216216216216,0.6868451688009313,563
0.71,0.5573122529644269,0.8597560975609756,0.6762589928057554,253,0.5446096654275093,0.9898648648648649,0.7026378896882494,538
0.72,0.5761316872427984,0.8536585365853658,0.687960687960688,243,0.5645472061657033,0.9898648648648649,0.7190184049079754,519
0.73,0.5914893617021276,0.8475609756097561,0.6967418546365914,235,0.5825049701789264,0.9898648648648649,0.7334167709637046,503
0.74,0.6289592760180995,0.8475609756097561,0.7220779220779221,221,0.604989604989605,0.9831081081081081,0.749034749034749,481
0.7499999999999999,0.6509433962264151,0.8414634146341463,0.7340425531914894,212,0.6502242152466368,0.9797297297297297,0.7816711590296496,446
0.7599999999999999,0.6733668341708543,0.8170731707317073,0.7382920110192838,199,0.6904761904761905,0.9797297297297297,0.8100558659217877,420
0.7699999999999999,0.7318435754189944,0.7987804878048781,0.7638483965014577,179,0.7455012853470437,0.9797297297297297,0.8467153284671532,389
0.7799999999999999,0.7647058823529411,0.7926829268292683,0.7784431137724551,170,0.7983193277310925,0.9628378378378378,0.8728943338437979,357
0.7899999999999999,0.810126582278481,0.7804878048780488,0.7950310559006211,158,0.8348082595870207,0.956081081081081,0.8913385826771654,339
0.7999999999999999,0.8513513513513513,0.7682926829268293,0.8076923076923077,148,0.8757763975155279,0.9527027027027027,0.912621359223301,322
0.8099999999999999,0.875,0.7682926829268293,0.8181818181818182,144,0.8938906752411575,0.9391891891891891,0.9159802306425041,311
0.82,0.8873239436619719,0.7682926829268293,0.8235294117647058,142,0.9105960264900662,0.9290540540540541,0.919732441471572,302
0.83,0.9185185185185185,0.7560975609756098,0.8294314381270903,135,0.9183673469387755,0.9121621621621622,0.9152542372881356,294
0.84,0.9242424242424242,0.7439024390243902,0.8243243243243243,132,0.935251798561151,0.8783783783783784,0.9059233449477352,278
0.8499999999999999,0.9302325581395349,0.7317073170731707,0.8191126279863481,129,0.9516728624535316,0.8648648648648649,0.9061946902654867,269
0.8599999999999999,0.9285714285714286,0.7134146341463414,0.8068965517241379,126,0.9536679536679536,0.8344594594594594,0.8900900900900901,259
0.8699999999999999,0.943089430894309,0.7073170731707317,0.8083623693379791,123,0.9565217391304348,0.8175675675675675,0.8816029143897997,253
0.8799999999999999,0.9426229508196722,0.7012195121951219,0.8041958041958042,122,0.9549180327868853,0.7871621621621622,0.8629629629629629,244
0.8899999999999999,0.9495798319327731,0.6890243902439024,0.7985865724381626,119,0.961864406779661,0.7668918918918919,0.8533834586466166,236
0.8999999999999999,0.9557522123893806,0.6585365853658537,0.779783393501805,113,0.9734513274336283,0.7432432432432432,0.842911877394636,226
0.9099999999999999,0.9905660377358491,0.6402439024390244,0.7777777777777778,106,0.9903846153846154,0.6959459459459459,0.8174603174603174,208
0.9199999999999999,1.0,0.6219512195121951,0.7669172932330827,102,1.0,0.6148648648648649,0.7615062761506276,182
0.9299999999999999,1.0,0.5792682926829268,0.7335907335907336,95,1.0,0.543918918918919,0.7045951859956237,161
0.94,1.0,0.5365853658536586,0.6984126984126984,88,1.0,0.5,0.6666666666666666,148
0.95,1.0,0.5,0.6666666666666666,82,1.0,0.4222972972972973,0.5938242280285035,125
